werd,definition,part_of_speech,pronunciation,origin,language,tags,source_1,source_2,created_by,created_at,is_curated,,,,,,,fact_check_notes
unassailable,"Unable to be attacked, questioned, or defeated.",adj.,un-uh-SAY-luh-buhl,Formed in English from Old French/Latin roots,English,trait,https://www.merriam-webster.com/dictionary/unassailable,,,,n,,,,,,,
utopia,An imagined place or state of things in which everything is perfect,n.,yoo-TOH-pee-uh,Adopted from Greek,English,philosophical,https://www.dictionary.com/browse/utopia,,,,n,,,,,,,
vacuous,Having or showing a lack of thought or intelligence; mindless.,adj.,VAK-yoo-uhs,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/vacuous,,,,n,,,,,,,
vagary,"An unpredictable or erratic action, occurrence, course, or instance: the vagaries of weather; the vagaries of the economic scene; a whimsical, wild, or unusual idea, desire, or action.",n.,vuh-GAIR-ee,Adopted from Latin,English,obscure,https://www.dictionary.com/browse/vagary,https://www.thefreedictionary.com/vagary,,,n,,,,,,,
vapid,Without liveliness or spirit; dull or tedious,adj.,VAP-id,Adopted from Latin,English,trait,https://www.dictionary.com/browse/vapid,https://www.oxfordlearnersdictionaries.com/us/definition/english/vapid,,,n,,,,,,,
vellichor,Longing felt in old bookstores,n.,VEL-ih-kor,Modern coined word,English,"academia,neologism,poetic,obscure,emotion",https://www.thedictionaryofobscuresorrows.com/word/vellichor,https://api.datamuse.com/words?sp=vellichor&md=dp&max=1,,,n,,,,,,,
verisimilitude,The appearance of being true or real.,n.,ver-uh-sih-MIL-ih-tood,Adopted from Latin,English,"philosophical,trait",https://www.merriam-webster.com/dictionary/verisimilitude,,,,n,,,,,,,
vetitum,Something forbidden or prohibited.,n.,veh-TEE-tum,,Latin,obscure,"https://en.wikipedia.org/wiki/Vetitum#:~:text=In%20the%20canon%20law%20of,a%20formal%20petition%20for%20nullity.",,,,n,,,,,,,
viridity,Naive innocence,n.,vuh-RID-i-tee,Adopted from Latin,English,"poetic,obscure,trait",https://www.dictionary.com/browse/viridity,,,,y,,,,,,,
whippersnapper,An impudent young person,n.,WIP-er-snap-er,Formed in English,English,"humorous,slang",,,,,n,,,,,,,
wifty,"Someone who is slightly eccentric, scatterbrained, or a bit absent-minded; might seem a little dreamy, distracted, or whimsical, often lost in their own thoughts.",adj.,WIF-tee,Origin uncertain; English,English,"humorous,slang,trait",,,,,y,,,,,,,
xenophile,"A person who is attracted to foreign cultures, people, or customs.",n.,ZEN-uh-file,Formed from Greek roots,English,"psychology,obscure,trait",https://en.wiktionary.org/wiki/xenophile,,,,n,,,,,,,
zeal,Great energy or enthusiasm in pursuit of a cause or objective.,n.,ZEEL,Adopted from Greek,English,emotion,https://www.merriam-webster.com/dictionary/zeal,,,,n,,,,,,,
ad hominem,Someone who  in the face of a specific argument  voices an argument that he does not necessarily accept  for the sake of argument and discovering the truth by testing the opponent's argument  cf  arguendo,phr.,"ad hom-uh-nuhm, -nem",,Latin,"academia,psychology",,https://en.wikipedia.org/wiki/Ad_hominem,,,n,,,,,,,
